2026-06-10T08:06:06.829Z 829 INFO     [71010:MainThread:views.py:83] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/tvrh' for user 'anonymous'
2026-06-10T08:06:06.832Z 832 INFO     [71010:MainThread:views.py:100] Received response from from endpoint 'http://localhost:8983/solr/tvrh' with status code '200'
2026-06-10T08:08:39.159Z 159 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.169Z 169 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.172Z 172 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.175Z 175 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.176Z 176 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.179Z 179 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.181Z 181 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.184Z 184 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.186Z 186 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.189Z 189 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.197Z 197 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://bot-localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.201Z 201 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://bot-localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.202Z 202 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.205Z 205 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.213Z 213 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.217Z 217 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.218Z 218 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.221Z 221 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.222Z 222 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.225Z 225 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.226Z 226 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.229Z 229 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
